CIRCUITO,n_vanos_geo,longitud_geom_km,municipios,n_transformadores_geo,capacidad_transformadores_kva,transformadores_energizados,n_interruptores_geo,tipos_interruptor,interruptores_energizados
SIO23L15,338,57.460612936092986,"['APIA', 'SANTUARIO', 'VITERBO']",139.0,5249.0,139.0,77,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",77
FLR23L12,212,56.84079616307524,"['PENSILVANIA', 'SAMANA']",64.0,717.5,64.0,34,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3OS', '3RG']",34
BEL23L12,310,56.73876442247047,"['BELALCAZAR', 'LA VIRGINIA', 'MARSELLA']",101.0,2051.5,101.0,61,"['1CC', '2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",61
COL23L12,245,56.25584471183567,"['PACORA', 'SALAMINA']",70.0,971.5,70.0,47,"['1CC', '2CC', '3CC', '3CFR', '3OS', '3RG', '3RL']",47
VCT23L13,253,56.232836357349804,"['MARQUETALIA', 'SAN SEBASTIAN DE MARIQUITA', 'VICTORIA']",84.0,1172.5,84.0,51,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",51
MAN23L14,351,56.22486326018155,"['MANIZALES', 'VILLAMARIA']",149.0,3231.5,149.0,83,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",83
INS23L14,478,56.08330874375406,"['CHINCHINA', 'MARSELLA', 'PALESTINA']",100.0,4143.5,100.0,74,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",74
AMA23L15,321,55.747414552002084,"['ANSERMA', 'BELEN DE UMBRIA']",114.0,3472.0,114.0,57,"['1CC', '2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",57
BEL23L15,283,53.73189495416346,['BELALCAZAR'],97.0,2116.5,97.0,59,"['1CC', '1CFR', '2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",59
FLR23L16,147,50.847327141166815,['SAMANA'],56.0,396.5,56.0,23,"['1CC', '1CFR', '2CC', '2CFR', '2OS', '2RL', '3RG']",23
DON23L14,296,50.515268707641404,"['LA DORADA', 'VICTORIA']",46.0,981.5,46.0,44,"['1CC', '2CC', '2CR', '3CC', '3IG', '3OS']",44
PRO23L13,189,50.299013086477984,['PUEBLO RICO'],54.0,756.5,54.0,31,"['1CC', '2CC', '2CFR', '3CC', '3OS', '3RG', '3RL']",31
VIR23L14,319,50.16619128559687,"['BALBOA', 'BELALCAZAR', 'LA VIRGINIA', 'SANTUARIO']",68.0,2270.0,68.0,44,"['2CC', '3CC', '3CFR', '3OS', '3RG', '3RL']",44
DDO23L14,341,49.292720914494545,"['MARMATO', 'SUPIA']",144.0,8853.0,144.0,81,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",81
SCE23L12,232,49.13157703784457,"['MISTRATO', 'PUEBLO RICO']",76.0,1254.5,76.0,29,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3OS', '3RG']",29
MGT23L12,347,48.67882855234928,"['ANSERMA', 'CHINCHINA', 'PALESTINA', 'RISARALDA']",120.0,6031.0,120.0,69,"['1CC', '1CFR', '1CR', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3OC', '3OS', '3RG', '3RL']",69
MAZ23L15,194,47.817874943400156,"['MANZANARES', 'MARQUETALIA']",76.0,1376.0,76.0,41,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",41
LMC23L13,264,47.2669907623363,"['ARANZAZU', 'FILADELFIA', 'LA MERCED', 'SALAMINA']",80.0,1483.5,80.0,62,"['1CC', '1CFR', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",62
AZU23L13,208,47.00994638974696,"['ARANZAZU', 'FILADELFIA']",81.0,1382.0,81.0,42,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",42
VCT23L17,191,46.54697903581005,['VICTORIA'],41.0,529.5,41.0,22,"['1CC', '1CFR', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",22
CHA23L12,333,46.54438042796797,"['CHINCHINA', 'MANIZALES', 'PALESTINA']",130.0,3178.5,130.0,70,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",70
CHA23L15,429,44.51807664248268,"['CHINCHINA', 'MANIZALES', 'PALESTINA']",137.0,5937.0,137.0,89,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",89
CHI23L18,408,44.01889132196569,['MANIZALES'],151.0,6108.5,151.0,59,"['1CC', '2CC', '2CR', '3CC', '3CFR', '3CR', '3IG', '3OC', '3OS', '3RL']",59
